date,group,clase2,clase1,year
180,1,29206148,17179220,2005
180,2,10184774,9237083,2005
180,3,11741903,7810042,2005
180,4,6210705,5682601,2005
180,5,19452778,11213768,2005
180,6,7984845,6431021,2005
180,7,4121427,2545835,2005
180,8,2618184,2135699,2005
181,1,28869060,17095935,2005
181,2,10041963,9120923,2005
181,3,11851420,7934707,2005
181,4,6287526,5711090,2005
181,5,19505755,11288386,2005
181,6,7979869,6449966,2005
181,7,4221388,2618741,2005
181,8,2659621,2176529,2005
182,1,28851725,17128935,2005
182,2,10090300,9166217,2005
182,3,11848849,7974395,2005
182,4,6196957,5685979,2005
182,5,19470872,11250899,2005
182,6,7862105,6415747,2005
182,7,4226040,2624320,2005
182,8,2649790,2179161,2005
183,1,28861817,17164595,2005
183,2,10048570,9206784,2005
183,3,11741856,7976310,2005
183,4,6289510,5772573,2005
183,5,19333648,11213222,2005
183,6,7739102,6356906,2005
183,7,4268485,2670906,2005
183,8,2715580,2258332,2005
184,1,28766005,17132277,2006
184,2,10272722,9288447,2006
184,3,12032322,8200691,2006
184,4,6399044,5859705,2006
184,5,19416223,11256302,2006
184,6,7861576,6459426,2006
184,7,4271740,2674052,2006
184,8,2673840,2224484,2006
185,1,28720237,17151919,2006
185,2,10097285,9220166,2006
185,3,11892994,8092844,2006
185,4,6285828,5796972,2006
185,5,19531035,11324002,2006
185,6,7849974,6495127,2006
185,7,4335570,2730552,2006
185,8,2735024,2291623,2006
186,1,28643265,17118887,2006
186,2,10170168,9259111,2006
186,3,11918203,8130766,2006
186,4,6503369,5963931,2006
186,5,19206537,11233368,2006
186,6,7877331,6509363,2006
186,7,4436831,2808911,2006
186,8,2858993,2368343,2006
187,1,28683536,17122545,2006
187,2,10092024,9230398,2006
187,3,11967358,8191663,2006
187,4,6429732,5922498,2006
187,5,19326277,11317160,2006
187,6,7984260,6582906,2006
187,7,4507089,2857899,2006
187,8,2911525,2428121,2006
188,1,28941356,17234745,2007
188,2,10254846,9252426,2007
188,3,12034843,8228199,2007
188,4,6494617,5952118,2007
188,5,19578856,11458800,2007
188,6,8197278,6695051,2007
188,7,4663957,2936652,2007
188,8,2990619,2483941,2007
189,1,28661163,17154858,2007
189,2,10187059,9277103,2007
189,3,12140038,8300706,2007
189,4,6438679,5947585,2007
189,5,19709587,11540175,2007
189,6,8077244,6616776,2007
189,7,4687964,2973082,2007
189,8,3028236,2529423,2007
190,1,28925202,17216524,2007
190,2,10214642,9276852,2007
190,3,12193909,8321965,2007
190,4,6482417,5928671,2007
190,5,19998860,11714097,2007
190,6,8227908,6700601,2007
